"Intercept","Age","SexMale","Residual"
0.926363704527494,0.00300539081123204,0.00719490350329864,0.0586887659889098
0.922513333364095,0.00299504964758053,0.0117721664285419,0.0652214554146575
0.923175397819642,0.00300328805795269,0.0105310150508631,0.0598578746983643
0.92313518578028,0.00300907485640561,0.0101644666651279,0.0764399492172728
0.924427877691776,0.00299957770955261,0.00953933964682168,0.0731441465387352
0.922877437624663,0.00298106645506898,0.0123909561423353,0.0689692093251044
0.923501562125497,0.00301011617620226,0.00972489480660686,0.075937055087037
0.929602063381244,0.00295727999874905,0.00733830655063534,0.0802837403177316
0.928141945634835,0.00293595691111196,0.0102972475690504,0.0719107865840162
0.926916750884134,0.00298862818459412,0.00782012060139176,0.0786408343494736
0.924823362536297,0.00293066222197237,0.0139880001880413,0.0698006937293564
0.928401275622159,0.00292623411822564,0.0107213433826678,0.0825499442013996
0.922167655685074,0.00301701622501702,0.010573789230123,0.0718241244164459
0.924408951356395,0.00298762962140129,0.0103981102337472,0.0796827902472591
0.924421781837973,0.00298621654223357,0.0104846066403665,0.080501084648385
0.92396480905394,0.00303909058832766,0.00722500459622555,0.0739441411054744
0.923317740983812,0.00301187358691267,0.00978518561740943,0.057363479155135
0.92282570574459,0.00298191529269424,0.0123830222925403,0.0689709980442121
0.927263002824808,0.00294789259694678,0.0103372178999953,0.0825276142785144
0.92202510637332,0.00299406196490093,0.0123298187206971,0.0624687066340361
0.928329278677479,0.00296646080262256,0.00796576245701706,0.0742016179629571
0.921548083868014,0.00302152901014995,0.0108761524189619,0.0602236353238569
0.9224820424018,0.00303818614755986,0.00877134538425062,0.0553617283677238
0.92335973703706,0.00300355273013899,0.0103280717344973,0.0570978613412457
0.922321766107352,0.00295850805619289,0.0145322823167087,0.06590212302654
0.929745812107857,0.00296584693734975,0.00659237829153095,0.0783001446872352
0.927523689693247,0.00297432007403004,0.00821891461375808,0.0634825650968266
0.924737925265552,0.00297608037084578,0.0108809458430548,0.0793813230565027
