"Intercept","Age","SexMale","Residual"
0.927444718943941,-0.00034898883596527,-0.0228067303508228,0.0625577691146224
0.928596603893952,-0.000377839964121255,-0.0234554904446764,0.0649058624833948
0.929534299415649,-0.000391706330127495,-0.0230520721723677,0.0580478513190867
0.928869512848065,-0.000373233272137353,-0.024876016684397,0.0591302898282611
0.927851408676068,-0.000377930659235648,-0.0213213159585332,0.0644871817131699
0.927228986573431,-0.000367618888931538,-0.0219231734790349,0.0618995081713426
0.928214552065085,-0.000363298979020461,-0.0242660092040282,0.06307530182324
0.928999685157811,-0.000371878347659037,-0.0230251345794704,0.059775715366766
0.927916391255176,-0.000344389408700187,-0.0260665460181913,0.0590828852440448
0.929536861497033,-0.00038922351337945,-0.0215297693348376,0.056159237446242
0.928046493938165,-0.000366170876391455,-0.0237726723518176,0.0635614299525374
0.923843158228144,-0.000323987000855367,-0.0199683757962723,0.0616076889435757
0.925445875653081,-0.000325724429700463,-0.0234335815086951,0.0597915402829274
0.92974646038267,-0.000400672231624496,-0.0244357199305474,0.0614025303198181
0.925696798639912,-0.000325241298754696,-0.0243285762520988,0.063027422055849
0.927955728188734,-0.000373614223098891,-0.0219668327687727,0.0600550220871364
0.92751220821339,-0.000366063751336879,-0.0249517383442181,0.054842556290391
0.928357535349741,-0.000362818354941808,-0.0252899587797508,0.0599263465438957
0.928916701427671,-0.000366623553999229,-0.0266469415571069,0.0616731812434455
0.927569612600417,-0.000377625120766776,-0.0221386569586745,0.0627682429601898
0.930903682298303,-0.00041162457665402,-0.0217598952425466,0.0578016044722087
0.929744913598723,-0.000411537375416295,-0.0213847408835485,0.0589710165626914
0.926286510334712,-0.000343711222932857,-0.0232399535320831,0.0629647056177003
0.928826766610868,-0.000387908408495348,-0.022885202634779,0.0553608732885204
0.930001122077644,-0.000391108277228447,-0.0232772356535704,0.0603946007075328
0.926780406286415,-0.000354913654373392,-0.0207084903175514,0.0624258911667799
0.928344245298911,-0.000362195925581646,-0.0231323666153809,0.0597320112731282
0.926891538460864,-0.000348689912640348,-0.0225129606086107,0.0590051222454442
0.927235276146495,-0.000358690982084953,-0.0216311685657566,0.0607862337868854
0.928812071846395,-0.000364265353024957,-0.0256881465565095,0.0606781554581486
0.926502325100932,-0.000342667400600129,-0.0218298633561134,0.0600570316229874
0.927108353830428,-0.000354115655926529,-0.0228178123651923,0.0615442534365051
0.928438292442958,-0.000355764765462094,-0.0236432337034607,0.0600668925246614
0.926559392081882,-0.000360603296041409,-0.0208637527972703,0.0595266162842932
0.929342650018205,-0.000387501910524511,-0.0233661288350098,0.0596718481124473
0.927907771548039,-0.000381008335100965,-0.0203751444566584,0.0628503116564641
0.92803771277513,-0.000353188254182648,-0.02358054588594,0.0609949452977054
0.927828841219612,-0.000378870995953543,-0.0223477753068809,0.0575963298793322
0.926926390493945,-0.000343457207644495,-0.0242284094514552,0.0618329696099871
0.927208099279826,-0.000354111949968005,-0.0218706737839264,0.06182346180676
0.927967349611082,-0.000369458787244713,-0.0222017267578212,0.0645307398541909
0.929769995666355,-0.000385002074871829,-0.022612901878854,0.0579960273769072
0.928216484081971,-0.000368023489865164,-0.0248243204731847,0.058303520594996
